Ref,Val,Package,PosX,PosY,Rot,Side
"D1,""DUAL_LED"",""KPHBM-2012SURKCGKC"",-10.960000,-1.233500,270.000000,bottom"
"J1,""SIM_JACKET"",""molex78646-3001"",-3.740000,-0.053500,90.000000,bottom"
"C1,""27pF"",""c_0402"",-6.300000,3.696500,270.000000,top"
"C2,""27pF"",""c_0402"",-8.849360,7.099300,180.000000,top"
"C3,""0.1uF"",""c_0402"",-9.050020,-0.850900,0.000000,top"
"C4,""0.1uF"",""c_0402"",-9.050020,-2.499360,180.000000,top"
"C5,""0.1uF"",""c_0402"",-4.100000,3.696500,270.000000,top"
"C6,""0.1uF"",""c_0402"",2.125980,6.550660,0.000000,top"
"C7,""0.1uF"",""c_0402"",-1.348740,-5.549900,180.000000,top"
"C7,""0.1uF"",""c_0402"",-1.348740,-5.549900,180.000000,top"
"C8,""0.1uF"",""c_0402"",2.125980,5.300980,0.000000,top"
"C9,""4.7uF"",""c_0402"",-1.348740,-6.949440,0.000000,top"
"C10,""0.01uF"",""c_0402"",1.574800,-2.298700,180.000000,top"
"C11,""4.7uF"",""c_0402"",2.100580,-6.515100,0.000000,top"
"P1,""CONN_4"",""SIL-2-2-drilled-offset"",-1.600000,6.246500,0.000000,top"
"R1,""510"",""r_0402"",-9.200000,-5.603500,180.000000,top"
"R2,""510"",""r_0402"",-9.200000,-6.903500,180.000000,top"
"R3,""10k"",""r_0402"",-4.013200,-6.959600,0.000000,top"
"R4,""10k"",""r_0402"",-5.700000,5.596500,0.000000,top"
"R5,""22"",""r_0402"",1.574800,-0.317500,180.000000,top"
"R6,""22"",""r_0402"",1.574800,0.800100,180.000000,top"
"R7,""1.5k"",""r_0402"",1.574800,1.816100,180.000000,top"
"U1,""STM32F103TB"",""QFN36"",-4.249420,-1.348740,0.000000,top"
"U2,""CAT6217-330"",""TSOT23-5"",1.841500,-4.381500,90.000000,top"
"U3,""DF5A5.6JE"",""SOT-553"",3.403600,-1.231900,90.000000,top"
"X1,""12MHz"",""ABM8G"",-8.750300,4.351020,90.000000,top"
